Cluster Size, Frequency
233, 1
234, 4
236, 4
237, 1
238, 3
240, 2
241, 1
243, 3
245, 3
246, 2
247, 2
248, 2
250, 1
251, 2
252, 1
253, 3
254, 1
255, 3
258, 1
260, 2
263, 1
264, 2
265, 2
266, 4
268, 2
270, 1
271, 1
272, 2
274, 1
275, 1
276, 1
278, 1
280, 3
281, 1
283, 1
284, 2
285, 1
287, 1
291, 2
292, 2
297, 1
298, 1
301, 1
302, 1
303, 1
304, 1
306, 1
310, 1
311, 1
313, 1
315, 3
319, 1
322, 1
324, 1
329, 1
331, 1
333, 1
335, 1
340, 1
347, 1
348, 1
356, 2
359, 1
368, 1
374, 1
391, 1
398, 1
430, 1
433, 1
438, 1
460, 1
481, 1
483, 1
491, 1
499, 1
536, 1
671, 1
788, 1
