Starting index build with R: 64  Lbuild: 100  alpha: 1.2  #threads: 48
L2: Using AVX2 distance computation DistanceL2Float
Using only first 1010812 from file.. 
Starting index build with 1010812 points... 
0% of index build completed.9.89304% of index build completed.19.7861% of index build completed.29.6791% of index build completed.39.5721% of index build completed.49.4652% of index build completed.59.3582% of index build completed.69.2513% of index build completed.79.1443% of index build completed.89.0373% of index build completed.98.9304% of index build completed.Starting final cleanup..done. Link time: 101.677s
Total number of clusters: 134671
Cluster Sizes:
Cluster ID: 398982, Size: 2
Cluster ID: 399541, Size: 2
Cluster ID: 394486, Size: 1
Cluster ID: 392398, Size: 1
Cluster ID: 391244, Size: 1
Cluster ID: 389378, Size: 1
Cluster ID: 389172, Size: 1
Cluster ID: 394990, Size: 1
Cluster ID: 387359, Size: 1
Cluster ID: 387128, Size: 1
Cluster ID: 386089, Size: 1
Cluster ID: 385481, Size: 1
Cluster ID: 384677, Size: 1
Cluster ID: 388985, Size: 2
Cluster ID: 383495, Size: 2
Cluster ID: 385090, Size: 1
Cluster ID: 389262, Size: 1
Cluster ID: 380317, Size: 1
Cluster ID: 380297, Size: 1
Cluster ID: 388667, Size: 1
Cluster ID: 407329, Size: 1
Cluster ID: 406517, Size: 1
Cluster ID: 405733, Size: 1
Cluster ID: 404487, Size: 1
Cluster ID: 408660, Size: 1
Cluster ID: 402875, Size: 1
Cluster ID: 397050, Size: 1
Cluster ID: 395601, Size: 2
Cluster ID: 395471, Size: 1
Cluster ID: 387839, Size: 1
Cluster ID: 387752, Size: 1
Cluster ID: 384179, Size: 1
Cluster ID: 391974, Size: 2
Cluster ID: 383024, Size: 1
Cluster ID: 382335, Size: 1
Cluster ID: 378805, Size: 1
Cluster ID: 408780, Size: 2
Cluster ID: 406342, Size: 1
Cluster ID: 406285, Size: 1
Cluster ID: 401088, Size: 1
Cluster ID: 396676, Size: 1
Cluster ID: 393322, Size: 1
Cluster ID: 391377, Size: 1
Cluster ID: 388176, Size: 1
Cluster ID: 387550, Size: 1
Cluster ID: 386317, Size: 1
Cluster ID: 390596, Size: 1
Cluster ID: 384215, Size: 2
Cluster ID: 383808, Size: 1
Cluster ID: 390819, Size: 2
Cluster ID: 382110, Size: 1
Cluster ID: 380964, Size: 1
Cluster ID: 380620, Size: 1
Cluster ID: 382864, Size: 1
Cluster ID: 379376, Size: 1
Cluster ID: 379030, Size: 1
Cluster ID: 409409, Size: 2
Cluster ID: 407748, Size: 2
Cluster ID: 404081, Size: 1
Cluster ID: 402592, Size: 2
Cluster ID: 400790, Size: 1
Cluster ID: 397442, Size: 1
Cluster ID: 396109, Size: 1
Cluster ID: 398423, Size: 2
Cluster ID: 392675, Size: 1
Cluster ID: 394522, Size: 1
Cluster ID: 389495, Size: 1
Cluster ID: 393136, Size: 1
Cluster ID: 380986, Size: 1
Cluster ID: 399999, Size: 1
Cluster ID: 379597, Size: 1
Cluster ID: 377534, Size: 1
Cluster ID: 414839, Size: 2
Cluster ID: 410505, Size: 1
Cluster ID: 414303, Size: 2
Cluster ID: 405412, Size: 1
Cluster ID: 399275, Size: 2
Cluster ID: 392746, Size: 1
Cluster ID: 391332, Size: 1
Cluster ID: 391124, Size: 2
Cluster ID: 395602, Size: 1
Cluster ID: 387799, Size: 1
Cluster ID: 387217, Size: 1
Cluster ID: 385272, Size: 1
Cluster ID: 384806, Size: 1
Cluster ID: 383167, Size: 1
Cluster ID: 380892, Size: 1
Cluster ID: 380014, Size: 1
Cluster ID: 415145, Size: 2
Cluster ID: 377948, Size: 1
Cluster ID: 412866, Size: 2
Cluster ID: 405928, Size: 2
